ID,Y_pred_count,Y_pred_cont,Y_Pred_bin,Y Bin pred
151,0.446025727,0.45,92.60%,1
152,1.036103881,1.04,92.60%,1
153,1.902922438,1.9,91.00%,1
154,1.929649471,1.93,84.70%,1
155,-0.669941499,-0.67,38.80%,0
156,0.33567069,0.34,20.10%,0
157,-0.367656999,-0.37,41.50%,0
158,-0.867125391,-0.87,61.30%,1
159,-2.263907977,-2.26,46.40%,0
160,2.997460577,3,54.30%,1
161,2.533672809,2.53,88.00%,1
162,2.163532066,2.16,86.40%,1
163,0.136588798,0.14,37.00%,0
164,-0.608996755,-0.61,92.10%,1
165,2.018779185,2.02,91.90%,1
166,-0.573591513,-0.57,92.50%,1
167,0.120819349,0.12,51.00%,1
168,-0.405106508,-0.41,91.80%,1
169,2.147853157,2.15,88.00%,1
170,1.774714223,1.77,49.80%,0
171,0.243592211,0.24,91.30%,1
172,0.721972349,0.72,86.70%,1
173,2.525781148,2.53,83.80%,1
174,-0.801512419,-0.8,35.70%,0
175,-0.476933542,-0.48,52.70%,1
